epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,651.248,1.89952,1.86347,1.28629,0.46621,0.33975,0.31024,0.15004,1.91438,2.1885,1.31457,0.000332829,0.000332829,0.0670499
2,1274.79,1.81006,1.42127,1.25297,0.40987,0.30938,0.34068,0.14302,2.20017,1.97119,1.47009,0.000633187,0.000633187,0.0340169
3,1896.56,1.76983,1.29491,1.23553,0.57322,0.33164,0.3799,0.16633,2.08526,2.10661,1.42057,0.000900546,0.000900546,0.000950974
4,2516.58,1.72302,1.20653,1.20964,0.48077,0.37186,0.37455,0.17118,2.00648,1.67313,1.37963,0.0008515,0.0008515,0.0008515
5,3138.44,1.67518,1.14105,1.18656,0.48367,0.44715,0.44558,0.21689,2.06579,1.91269,1.39313,0.000802,0.000802,0.000802
6,3759.31,1.64683,1.08043,1.17349,0.62466,0.39133,0.45196,0.23132,2.07138,1.84129,1.39425,0.0007525,0.0007525,0.0007525
7,4380.57,1.60831,1.03182,1.15918,0.56993,0.45403,0.46563,0.20454,2.222,1.78638,1.47383,0.000703,0.000703,0.000703
8,5001.4,1.5806,0.98307,1.14357,0.66467,0.44646,0.4864,0.25497,2.00414,1.81272,1.36733,0.0006535,0.0006535,0.0006535
9,5624.36,1.56566,0.95487,1.13369,0.65467,0.40915,0.47157,0.22618,2.09448,2.00753,1.41348,0.000604,0.000604,0.000604
10,6249.49,1.53063,0.91681,1.11991,0.63456,0.44991,0.51919,0.2521,2.10091,1.97056,1.42902,0.0005545,0.0005545,0.0005545
11,6845.88,1.36737,0.70097,1.11483,0.64297,0.46427,0.52954,0.26252,1.97475,1.91835,1.34495,0.000505,0.000505,0.000505
12,7441.14,1.33528,0.66453,1.09914,0.61823,0.42515,0.46499,0.23331,2.17148,2.11033,1.44213,0.0004555,0.0004555,0.0004555
13,8033.54,1.31476,0.6368,1.08796,0.62652,0.46971,0.54822,0.28236,2.0199,2.05487,1.37443,0.000406,0.000406,0.000406
14,8625.15,1.28997,0.6113,1.07716,0.62019,0.46604,0.52462,0.2697,2.04553,1.98117,1.38967,0.0003565,0.0003565,0.0003565
15,9218.05,1.26322,0.58959,1.06785,0.6145,0.45856,0.51644,0.27346,2.08415,1.98839,1.40805,0.000307,0.000307,0.000307
16,9809.1,1.2498,0.57603,1.06013,0.66421,0.44053,0.50749,0.26548,2.11122,2.06593,1.42377,0.0002575,0.0002575,0.0002575
17,10401.7,1.22464,0.55521,1.04807,0.64061,0.46207,0.53296,0.27906,2.05161,1.91598,1.39768,0.000208,0.000208,0.000208
18,10992.1,1.21242,0.54525,1.04156,0.60087,0.48388,0.53023,0.2782,2.05172,1.91343,1.3893,0.0001585,0.0001585,0.0001585
19,11581.6,1.1956,0.5347,1.03597,0.65255,0.46512,0.53056,0.28658,2.02974,1.96039,1.37031,0.000109,0.000109,0.000109
20,12173.6,1.18807,0.52553,1.03327,0.6511,0.46932,0.53404,0.28789,2.05229,1.9756,1.38854,5.95e-05,5.95e-05,5.95e-05
