epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.5323,1.54226,5.03691,1.69778,0.8122,0.49943,0.64386,0.228,2.24865,1.5617,1.99667,0.000327869,0.000327869,0.067541
2,68.3701,1.51412,1.67813,1.59627,0.66477,0.36363,0.3892,0.18905,2.00919,2.74138,1.87499,0.00064811,0.00064811,0.0345279
3,89.8775,1.55227,1.61934,1.6291,0.30825,0.57412,0.39441,0.13746,2.29058,3.68458,2.00114,0.000955152,0.000955152,0.0015016
4,110.791,1.55916,1.62913,1.63666,0.27529,0.22393,0.16688,0.07738,2.07549,4.86401,1.89172,0.0009406,0.0009406,0.0009406
5,131.77,1.5437,1.49736,1.62805,0.68864,0.31111,0.30051,0.09812,2.31616,2.97516,2.03663,0.0009208,0.0009208,0.0009208
6,152.948,1.5123,1.45694,1.58893,0.55076,0.72221,0.5732,0.29827,1.89232,1.53754,1.70842,0.000901,0.000901,0.000901
7,174.372,1.46899,1.43076,1.56394,0.71,0.4,0.53366,0.17237,2.33801,1.18927,1.92389,0.0008812,0.0008812,0.0008812
8,195.539,1.42941,1.35345,1.52418,0.49648,0.62222,0.58048,0.29616,1.91297,1.2144,1.63246,0.0008614,0.0008614,0.0008614
9,216.561,1.40206,1.39379,1.51081,0.87509,0.51472,0.63655,0.30191,1.77004,0.98074,1.62598,0.0008416,0.0008416,0.0008416
10,237.724,1.40883,1.30359,1.49656,0.78877,0.6944,0.82185,0.40519,2.33793,0.99882,1.85691,0.0008218,0.0008218,0.0008218
11,258.829,1.40083,1.30989,1.50165,0.63483,0.58889,0.64214,0.27698,1.79876,1.14321,1.68452,0.000802,0.000802,0.000802
12,280.073,1.37238,1.26295,1.47272,0.86379,0.92312,0.95995,0.42326,2.17199,0.96723,1.86279,0.0007822,0.0007822,0.0007822
13,301.205,1.36857,1.23867,1.45742,0.64927,0.77618,0.77138,0.35641,1.89418,1.08338,1.58435,0.0007624,0.0007624,0.0007624
14,322.22,1.34681,1.22988,1.47304,0.76457,0.73899,0.7941,0.40718,1.94473,1.05635,1.66118,0.0007426,0.0007426,0.0007426
15,343.472,1.35224,1.15801,1.45416,0.74631,0.83333,0.80383,0.43291,1.6484,1.09887,1.50005,0.0007228,0.0007228,0.0007228
16,364.571,1.32689,1.13268,1.45632,0.67306,0.71394,0.78843,0.40193,1.77132,0.90632,1.56596,0.000703,0.000703,0.000703
17,385.657,1.29322,1.11646,1.43141,0.84446,0.83588,0.83223,0.45407,1.99867,1.01854,1.67471,0.0006832,0.0006832,0.0006832
18,406.929,1.291,1.06482,1.42029,0.86857,0.85351,0.88599,0.5481,1.56332,0.77641,1.41303,0.0006634,0.0006634,0.0006634
19,428.183,1.26196,1.01953,1.38392,0.74339,0.76071,0.81184,0.44618,1.73709,0.90848,1.53057,0.0006436,0.0006436,0.0006436
20,449.445,1.24707,1.00007,1.39037,0.87356,0.71661,0.91206,0.54998,1.39034,0.75113,1.39166,0.0006238,0.0006238,0.0006238
21,470.615,1.20234,1.01947,1.37795,0.86333,0.93707,0.95356,0.58137,1.2215,0.84209,1.33818,0.000604,0.000604,0.000604
22,491.797,1.21117,1.00317,1.36322,0.65117,0.81496,0.84257,0.55165,1.29997,0.84157,1.32704,0.0005842,0.0005842,0.0005842
23,512.952,1.19399,0.96953,1.356,0.91932,0.88822,0.95606,0.57863,1.47543,0.68163,1.36061,0.0005644,0.0005644,0.0005644
24,534.055,1.16283,0.98339,1.3363,0.82274,0.82867,0.76357,0.45832,1.38084,0.73594,1.34379,0.0005446,0.0005446,0.0005446
25,555.214,1.14382,0.95232,1.31768,0.82416,0.70876,0.85225,0.60408,1.16504,0.75699,1.22329,0.0005248,0.0005248,0.0005248
26,576.463,1.16392,0.92082,1.34036,0.89389,0.86462,0.9174,0.56008,1.37265,0.76858,1.38662,0.000505,0.000505,0.000505
27,597.658,1.18179,0.89068,1.33588,0.84325,0.92849,0.93796,0.55319,1.45039,0.68976,1.41348,0.0004852,0.0004852,0.0004852
28,618.782,1.19167,0.89357,1.33582,0.79423,0.89963,0.93329,0.60818,1.25443,0.76801,1.29175,0.0004654,0.0004654,0.0004654
29,639.931,1.13692,0.82897,1.33904,0.78233,0.85556,0.89826,0.60096,1.3618,0.63121,1.2993,0.0004456,0.0004456,0.0004456
30,661.066,1.14048,0.81274,1.31617,0.81186,0.88043,0.86609,0.5273,1.48933,0.70698,1.37354,0.0004258,0.0004258,0.0004258
31,682.103,1.12353,0.81554,1.31444,0.65572,0.84444,0.83695,0.52063,1.36269,0.69064,1.37432,0.000406,0.000406,0.000406
32,703.213,1.10971,0.80297,1.31079,0.82686,0.88889,0.82679,0.51582,1.34583,0.63677,1.31797,0.0003862,0.0003862,0.0003862
33,724.315,1.09113,0.77906,1.3011,0.9755,0.90356,0.98201,0.62421,1.28568,0.60744,1.29237,0.0003664,0.0003664,0.0003664
34,745.542,1.08883,0.80665,1.29001,0.80278,0.98731,0.95412,0.63972,1.3904,0.53175,1.30928,0.0003466,0.0003466,0.0003466
35,766.925,1.09094,0.73205,1.28088,0.9607,0.78845,0.96915,0.68117,1.33874,0.63545,1.28764,0.0003268,0.0003268,0.0003268
36,788.113,1.0632,0.72088,1.26579,0.85945,0.90343,0.90607,0.58982,1.39261,0.58599,1.29392,0.000307,0.000307,0.000307
37,809.222,1.04909,0.72072,1.25739,0.83,0.92676,0.95209,0.66811,1.30756,0.5245,1.27192,0.0002872,0.0002872,0.0002872
38,830.269,1.04762,0.72619,1.25983,0.79473,0.88873,0.85829,0.60289,1.22867,0.70106,1.27439,0.0002674,0.0002674,0.0002674
39,851.372,1.01819,0.7149,1.25308,0.79716,0.71508,0.80605,0.53469,1.28393,0.68994,1.30119,0.0002476,0.0002476,0.0002476
40,872.612,1.02524,0.67599,1.24308,0.85603,0.83393,0.8559,0.588,1.22518,0.6347,1.28835,0.0002278,0.0002278,0.0002278
41,894.2,0.89264,0.40732,1.15752,0.86943,0.9293,0.94078,0.65499,1.29891,0.54014,1.31839,0.000208,0.000208,0.000208
42,915.179,0.8443,0.37632,1.13025,0.84496,0.85713,0.90337,0.61065,1.2209,0.60366,1.30294,0.0001882,0.0001882,0.0001882
43,936.131,0.82436,0.33528,1.11599,0.85641,0.84976,0.90094,0.61864,1.21158,0.57107,1.26729,0.0001684,0.0001684,0.0001684
44,957.011,0.80674,0.3411,1.11013,0.82661,0.91986,0.93979,0.6541,1.20391,0.54985,1.28341,0.0001486,0.0001486,0.0001486
45,978.062,0.77254,0.33205,1.08423,0.81951,0.8549,0.96741,0.65436,1.18466,0.60624,1.27428,0.0001288,0.0001288,0.0001288
46,998.989,0.76126,0.30873,1.08125,0.89525,0.82831,0.99032,0.67339,1.23714,0.52048,1.29419,0.000109,0.000109,0.000109
47,1019.93,0.76869,0.31957,1.08481,0.87604,0.83564,0.98213,0.67544,1.18203,0.57333,1.28161,8.92e-05,8.92e-05,8.92e-05
48,1040.88,0.78348,0.28927,1.09073,0.85738,0.9,0.97795,0.65594,1.1978,0.52064,1.288,6.94e-05,6.94e-05,6.94e-05
49,1061.78,0.75916,0.3063,1.07462,0.84898,0.9128,0.98878,0.67934,1.20564,0.53741,1.28259,4.96e-05,4.96e-05,4.96e-05
50,1082.8,0.74762,0.28212,1.0677,0.89838,0.80818,0.9741,0.65663,1.18448,0.56891,1.28744,2.98e-05,2.98e-05,2.98e-05
